Comment,Designator,Footprint,LCSC Part #
0.1µF,C2,CAPC1608X85,C14663
3A/250V,JP2,B3B-XH-A,
10KRΩ,R1,RESC1608X60,C25804
330RΩ,R3,RESC1608X60,C23138
1000RΩ,R2,RESC1608X60,C21190
EE-SX1103EE-SX1103_OMR,EE-SX1103,EE-SX1103_OMR,C2931100
LED,D2,LEDC3216X75N_FLAT-B,C434438
SN74LVC1G14DBVRDBV5,U4,DBV5,C7835
